,id,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
3508,75117000BG,48.88445219305554,2.297497954166667,John Weng,48.884260633504496,2.2968198359012604,Asian Restaurant
3509,75117000BG,48.88445219305554,2.297497954166667,Place Perreire,48.88456470366615,2.2976472047032463,Plaza
3510,75117000BG,48.88445219305554,2.297497954166667,Chez Ly,48.884049204085024,2.296990065103393,Asian Restaurant
3511,75117000BG,48.88445219305554,2.297497954166667,Place du Maréchal Juin,48.884956,2.297285,Plaza
3512,75117000BG,48.88445219305554,2.297497954166667,Sushi Shop,48.88411021269425,2.298453925183308,Sushi Restaurant
3513,75117000BG,48.88445219305554,2.297497954166667,La Place,48.88463064348475,2.2975730786141577,Cocktail Bar
3514,75117000BG,48.88445219305554,2.297497954166667,Hôtel Courcelles Étoile,48.88443403413488,2.2980093955993652,Hotel
3515,75117000BG,48.88445219305554,2.297497954166667,Hôtel de Prony,48.88479162219264,2.2986040987427683,Hotel
3516,75117000BG,48.88445219305554,2.297497954166667,Les Hortensias,48.885163195160224,2.297845266259233,Café
3517,75117000BG,48.88445219305554,2.297497954166667,Monoprix,48.88402748591579,2.298270402210328,Supermarket
3518,75117000BG,48.88445219305554,2.297497954166667,Bar Le Village,48.88435073854916,2.2978979124137138,Bistro
3519,75117000BH,48.884796755555556,2.298929874074074,Hotel Ampère,48.88469526313312,2.299596720195926,Hotel
3520,75117000BH,48.884796755555556,2.298929874074074,Place Perreire,48.88456470366615,2.2976472047032463,Plaza
3521,75117000BH,48.884796755555556,2.298929874074074,Sushi Shop,48.88411021269425,2.298453925183308,Sushi Restaurant
3522,75117000BH,48.884796755555556,2.298929874074074,Hôtel Courcelles Étoile,48.88443403413488,2.2980093955993652,Hotel
3523,75117000BH,48.884796755555556,2.298929874074074,Yoshi,48.884747,2.29881,Japanese Restaurant
3524,75117000BH,48.884796755555556,2.298929874074074,Le Bistro du 17ème,48.884913776420674,2.2988972067832947,Bistro
3525,75117000BH,48.884796755555556,2.298929874074074,Hôtel de Prony,48.88479162219264,2.2986040987427683,Hotel
3526,75117000BH,48.884796755555556,2.298929874074074,Les Hortensias,48.885163195160224,2.297845266259233,Café
3527,75117000BH,48.884796755555556,2.298929874074074,Monoprix,48.88402748591579,2.298270402210328,Supermarket
3528,75117000BH,48.884796755555556,2.298929874074074,Bar Le Village,48.88435073854916,2.2978979124137138,Bistro
3529,75117000BI,48.88422534166666,2.3045115083333334,KL Pâtisserie,48.88426326,2.30376363,Pastry Shop
3530,75117000BI,48.88422534166666,2.3045115083333334,Papillon,48.88346196317113,2.3043771206658614,French Restaurant
3531,75117000BI,48.88422534166666,2.3045115083333334,Le Colisée Wagram,48.884283846553984,2.304629893712389,Pizza Place
3532,75117000BI,48.88422534166666,2.3045115083333334,Gabrielle,48.883968833108305,2.3050512251369284,Bistro
3533,75117000BI,48.88422534166666,2.3045115083333334,Le Petit Villiers,48.88398395839544,2.3041796511557964,French Restaurant
